Trecho,Palavras,Blocos,Positivos,Negativos,Diferença (Pos - Neg),Dif/Palavras,Média Estrelas
1,9,1,1,0,1,0.1111,5.0
2,170,17,5,3,2,0.0118,3.24
3,190,19,7,8,-1,-0.0053,3.0
4,125,13,3,8,-5,-0.04,2.62
5,169,17,7,7,0,0.0,3.24
6,83,9,4,1,3,0.0361,3.67
7,156,16,11,1,10,0.0641,4.25
8,161,17,6,2,4,0.0248,3.59
9,177,18,14,1,13,0.0734,4.44
10,154,16,9,3,6,0.039,3.81
11,91,10,6,0,6,0.0659,4.0
12,472,48,8,30,-22,-0.0466,2.23
13,221,23,11,6,5,0.0226,3.48
14,1,1,1,0,1,1.0,5.0
15,2,1,1,0,1,0.5,4.0
