word	occu	freq-per-mill	usual	rank	racio
Playstation	5	1610.82	41.37	24168	38.93
incrível	5	1610.82	505.07	1746	3.19
realmente	5	1610.82	1942.88	512	0.83
pronto	5	1610.82	497.34	2008	3.24
muro	5	1610.82	129.20	7737	12.47
tarde	4	1288.66	2208.97	450	0.58
começar	4	1288.66	873.20	861	1.48
nada	4	1288.66	4490.35	220	0.29
aí	4	1288.66	1488.76	669	0.87
verão	4	1288.66	574.15	1739	2.24
dir	4	1288.66	164.27	43610	7.84
perto	4	1288.66	1285.84	775	1.00
engraçar	4	1288.66	127.28	319785	10.12
interessante	4	1288.66	902.77	1105	1.43
pé	4	1288.66	803.41	1242	1.60
futebol	4	1288.66	1300.90	766	0.99
haver	4	1288.66	3062.07	1765	0.42
dois	4	1288.66	7173.78	127	0.18
principalmente	4	1288.66	2248.71	442	0.57
cheiro	4	1288.66	250.02	3997	5.15
experiência	4	1288.66	2458.81	404	0.52
pessoa	4	1288.66	9374.58	244	0.14
quase	4	1288.66	3271.18	303	0.39
relação	4	1288.66	3198.90	249	0.40
tradição	4	1288.66	389.17	2169	3.31
tempo	4	1288.66	11402.51	85	0.11
domingo	4	1288.66	380.84	887	3.38
noite	4	1288.66	881.08	358	1.46
momento	4	1288.66	4909.18	201	0.26
lembrança	4	1288.66	124.23	8047	10.37
Rego	4	1288.66	42.40	23581	30.39
raíz	4	1288.66	197.64	48276	6.52
conseguir	4	1288.66	284.45	850	4.53
Boa	3	966.49	3336.67	1870	0.29
sobre	3	966.49	17331.02	55	0.06
chamar	3	966.49	426.25	2475	2.27
ver	3	966.49	3685.67	197	0.26
familiar	3	966.49	526.30	1938	1.84
acaso	3	966.49	254.34	3929	3.80
voltar	3	966.49	630.12	1091	1.53
repetir	3	966.49	127.99	5562	7.55
meio	3	966.49	6261.74	157	0.15
aquilo	3	966.49	806.00	1238	1.20
comer	3	966.49	462.10	1454	2.09
golo	3	966.49	106.50	9387	9.08
talvez	3	966.49	1060.78	940	0.91
recordar	3	966.49	64.46	10623	14.99
passar	3	966.49	1253.81	531	0.77
criança	3	966.49	1314.58	758	0.74
contacto	3	966.49	190.45	5248	5.07
lembro	3	966.49	38.36	4137	25.20
específico	3	966.49	387.19	2580	2.50
história	3	966.49	4933.40	200	0.20
professora	3	966.49	433.90	2302	2.23
apesar	3	966.49	1266.30	787	0.76
ocasião	3	966.49	394.81	2022	2.45
sorte	3	966.49	506.41	1972	1.91
junto	3	966.49	614.74	502	1.57
especial	3	966.49	2279.46	436	0.42
desenho	3	966.49	294.40	2348	3.28
Natal	3	966.49	708.87	1408	1.36
marcante	3	966.49	145.93	6850	6.62
auxiliar	3	966.49	392.05	2548	2.47
computador	3	966.49	697.50	1431	1.39
vê-lo	3	966.49	104.40	9576	9.26
nome	2	644.33	4679.46	211	0.14
disponibilidade	2	644.33	314.99	3172	2.05
este	2	644.33	6680.03	83	0.10
entrevista	2	644.33	787.59	1267	0.82
idade	2	644.33	1541.54	646	0.42
João	2	644.33	2332.63	426	0.28
onde	2	644.33	10559.66	92	0.06
crescer	2	644.33	334.27	2474	1.93
aldeia	2	644.33	219.07	4562	2.94
tipo	2	644.33	4450.38	222	0.14
sítio	2	644.33	247.79	4033	2.60
geral	2	644.33	2305.74	431	0.28
menos	2	644.33	5963.03	165	0.11
terreno	2	644.33	433.71	2303	1.49
frio	2	644.33	329.16	2137	1.96
quente	2	644.33	539.17	1852	1.20
facto	2	644.33	509.76	1959	1.26
eles	2	644.33	6464.12	152	0.10
constantemente	2	644.33	259.83	3846	2.48
