Bloco,Nº de Trechos,Média de Estrelas,Positivos,Negativos
Bloco 1,1,5.0,1,0
Bloco 2,5,3.6,3,1
Bloco 3,5,3.2,3,2
Bloco 4,9,3.44,6,3
Bloco 5,4,3.0,1,1
Bloco 6,4,3.25,2,2
Bloco 7,5,3.6,2,1
Bloco 8,5,3.2,1,1
Bloco 9,4,3.5,2,1
Bloco 10,6,4.17,4,0
Bloco 11,7,4.14,5,1
Bloco 12,5,4.6,4,0
Bloco 13,6,3.67,3,1
Bloco 14,4,3.0,2,2
Bloco 15,1,5.0,1,0
