era	13	0.0211
muito	12	0.0195
me	11	0.0179
sempre	10	0.0163
meu	10	0.0163
infância	8	0.0130
mais	8	0.0130
é	8	0.0130
como	7	0.0114
especial	7	0.0114
dia	7	0.0114
mas	6	0.0098
casa	6	0.0098
meus	6	0.0098
minha	6	0.0098
hoje	5	0.0081
ainda	5	0.0081
tua	5	0.0081
adorava	5	0.0081
ser	4	0.0065
