word,occu,freq-per-mill,usual,rank,racio
bom,3018,3018.11,2930.24,216,1.03
escola,3018,3018.11,1812.58,549,1.67
creme,3018,3018.11,293.97,3399,10.27
todo,3018,3018.11,8337.77,131,0.36
Adorava,3018,3018.11,18.25,54786,165.36
também,3018,3018.11,7629.98,48,0.4
cavalo,3018,3018.11,140.77,5335,21.44
ou,3018,3018.11,28011.2,33,0.11
te,3018,3018.11,2495.63,398,1.21
sem,3018,3018.11,5014.81,74,0.6
nunca,3018,3018.11,3653.64,271,0.83
familiar,3018,3018.11,526.3,1938,5.73
pouco,2012,2012.07,5414.19,182,0.37
forma,2012,2012.07,10341.26,94,0.19
crescer,2012,2012.07,151.58,2474,13.27
bastante,2012,2012.07,2527.17,393,0.8
tradicional,2012,2012.07,707.36,1411,2.84
viver,2012,2012.07,450.87,976,4.46
lá,2012,2012.07,3835.83,258,0.52
ambiente,2012,2012.07,2354.6,422,0.85
comum,2012,2012.07,1548.71,643,1.3
não,2012,2012.07,42194.09,21,0.05
lembro,2012,2012.07,38.36,4137,52.46
cão,2012,2012.07,241.33,4141,8.34
relação,2012,2012.07,3972.98,249,0.51
ele,2012,2012.07,60703.33,62,0.03
cedo,2012,2012.07,505.38,1976,3.98
vez,2012,2012.07,7268.5,108,0.28
antes,2012,2012.07,5443.66,181,0.37
porque,2012,2012.07,7651.11,128,0.26
lembrança,2012,2012.07,124.23,8047,16.2
mãe,2012,2012.07,2054.65,484,0.98
ela,2012,2012.07,66044.45,98,0.03
manhã,2012,2012.07,60.69,648,33.15
Nivea,2012,2012.07,18.19,54965,110.6
esse,2012,2012.07,4567.14,125,0.44
momento,2012,2012.07,3063.08,201,0.66
olhar,2012,2012.07,594.91,1037,3.38
adorar,2012,2012.07,60.95,7183,33.01
final,2012,2012.07,4885.2,202,0.41
voltar,2012,2012.07,37.9,1091,53.1
fazíamos,2012,2012.07,30.29,33013,66.43
sim,2012,2012.07,646.12,445,3.11
gostar,2012,2012.07,306.11,3470,6.57
imediatamente,2012,2012.07,463.46,2155,4.34
dúvida,2012,2012.07,904.4,1103,2.22
algo,2012,2012.07,3487.97,284,0.58
teu,2012,2012.07,172.04,1759,11.7
altura,2012,2012.07,1008.37,989,2.0
mesmo,2012,2012.07,9065.65,66,0.22
professora,2012,2012.07,250.76,2302,8.02
quem,2012,2012.07,7593.01,129,0.26
entanto,2012,2012.07,2223.7,447,0.9
marcante,2012,2012.07,132.19,6850,15.22
tarde,2012,2012.07,2208.97,450,0.91
verdadeiro,2012,2012.07,526.4,1623,3.82
vida,2012,2012.07,10787.49,90,0.19
criança,2012,2012.07,1314.58,758,1.53
apesar,2012,2012.07,1118.94,787,1.8
Havia,2012,2012.07,146.06,6844,13.78
costume,2012,2012.07,180.55,5536,11.14
ti,2012,2012.07,290.39,3441,6.93
especialmente,2012,2012.07,1088.49,916,1.85
aniversário,2012,2012.07,465.4,2146,4.32
*,2012,2012.07,2552.97,389,0.79
connosco,1006,1006.04,86.73,11527,11.6
