,	68146.62	370370.37	0	0.18
.	30975.74	175438.60	3	0.18
1	516.26	10905.13	89	0.05
10	516.26	4614.67	214	0.11
2	516.26	8216.93	119	0.06
3	516.26	6591.96	149	0.08
4	516.26	4657.66	212	0.11
50	516.26	1543.92	645	0.33
:	19617.97	33670.03	27	0.58
?	8260.20	19342.36	49	0.43
Ah	516.26	306.78	3257	1.68
Aldreu	516.26	1.00	OFV	516.26
Aquele	516.26	90.94	6513	5.68
Barcelos	516.26	56.88	17578	9.08
Catarina	1032.52	465.83	2144	2.22
Concelho	516.26	85.64	11674	6.03
Entrevistado	4646.36	9.99	100066	464.96
Gostava	516.26	46.05	21711	11.21
Jardim	1032.52	557.82	1790	1.85
Jogo	516.26	158.86	6292	3.25
Macaca	516.26	15.33	65211	33.67
Marcou	516.26	22.07	45304	23.39
Margarida	516.26	88.14	11343	5.86
O	516.26	32573.29	28	0.02
Olá	1548.79	685.07	1457	2.26
Páscoa	516.26	151.66	6591	3.40
Solei	516.26	2.25	445243	229.86
Tradição	516.26	55.50	18015	9.30
a	10325.25	79582.82	5	0.13
acabar	3097.57	210.68	2075	14.70
acabo	516.26	81.15	12320	6.36
acaso	516.26	254.34	3929	2.03
achar	6711.41	1363.51	2396	4.92
acontecer	1032.52	70.97	1427	14.55
acontecimento	516.26	136.79	7308	3.77
adorar	1032.52	223.58	7183	4.62
agora	3097.57	4498.48	193	0.69
agradeço-te	516.26	5.00	199887	103.20
agradável	516.26	399.73	2499	1.29
ah	1032.52	306.78	10703	3.37
ai	516.26	151.06	1905	3.42
ainda	1548.79	14144.27	68	0.11
ajudar	516.26	1780.31	559	0.29
algo	1548.79	2362.56	284	0.66
algum	7227.67	2998.14	379	2.41
ali	1032.52	997.31	1000	1.04
altura	1032.52	547.06	989	1.89
além	516.26	5998.80	164	0.09
ambiente	1548.79	2354.60	422	0.66
amiga	516.26	240.75	1853	2.14
amigo	5678.88	2067.40	893	2.75
aminha	516.26	7.00	142850	73.75
andar	1032.52	27.68	1575	37.31
aniversário	3097.57	465.40	2146	6.66
ano	2065.05	11585.12	93	0.18
antes	516.26	5443.66	181	0.09
aparecer	516.26	66.19	2890	7.80
apetecível	516.26	15.79	63320	32.69
aprender	516.26	155.79	1178	3.31
aquele	6711.41	1168.95	677	5.74
aqui	1032.52	7007.71	140	0.15
aquilo	516.26	806.00	1238	0.64
ar	516.26	1590.58	626	0.32
asneira	516.26	22.84	48795	22.61
assim	8260.20	7967.16	117	1.04
assumíar	516.26	1.00	OFV	516.26
atividade	516.26	2749.52	656	0.19
atuar	516.26	372.76	2680	1.38
até	516.26	16207.46	59	0.03
avó	1548.79	151.33	5874	10.23
basicamente	516.26	255.06	3918	2.02
bater	516.26	262.35	3809	1.97
bem	2581.31	13947.00	69	0.19
bocadinho	2065.05	72.07	13872	28.65
bom	2581.31	3092.29	216	0.83
brinca	516.26	68.81	14531	7.50
brincadeira	1032.52	210.32	4752	4.91
brincar	3097.57	156.93	4420	19.74
buscar	516.26	550.15	1815	0.94
calhar	1548.79	39.85	13459	38.86
calor	516.26	495.12	2017	1.04
caminho	516.26	334.03	604	1.55
campo	516.26	1764.60	564	0.29
cantar	1548.79	200.61	4982	7.72
casa	7227.67	6910.85	142	1.05
cedo	516.26	505.38	1976	1.02
cessar	516.26	2.74	19460	188.21
chamar	516.26	901.96	2475	0.57
chegar	516.26	100.09	599	5.16
cheio	516.26	422.71	2035	1.22
cheiro	1548.79	250.02	3997	6.19
cidade	1548.79	7107.32	138	0.22
coisa	5678.88	3700.38	267	1.53
coitar	516.26	18.91	OFV	27.31
com	9808.98	64791.50	12	0.15
comer	516.26	49.05	1454	10.53
como	5678.88	26716.07	29	0.21
comprir	516.26	36.20	321197	14.26
conseguir	516.26	343.44	850	1.50
conta	1032.52	5058.17	195	0.20
contacto	2065.05	190.45	5248	10.84
continuar	516.26	864.53	1182	0.60
conviver	516.26	13.06	8493	39.52
costume	516.26	180.55	5536	2.86
crescer	1032.52	221.07	2474	4.67
cresceste	516.26	3.24	308748	159.40
cresci	516.26	38.37	26058	13.45
criança	1032.52	1314.58	758	0.79
culpa	516.26	345.94	2888	1.49
cá	516.26	450.51	2217	1.15
dar	516.26	798.28	255	0.65
dar-me	516.26	19.20	52069	26.88
de	42849.77	141306.16	2	0.30
dentro	516.26	4224.76	234	0.12
depois	1032.52	4828.29	136	0.21
desde	516.26	5327.65	185	0.10
dia	6711.41	14347.20	67	0.47
diferente	2581.31	1904.77	606	1.36
difícil	516.26	1445.71	689	0.36
discutíar	516.26	7.14	OFV	72.26
dizer	1032.52	1714.00	318	0.60
durante	1548.79	6506.18	151	0.24
e	35622.10	117482.41	4	0.30
eacabar	516.26	1.00	OFV	516.26
educadora	516.26	45.05	22197	11.46
ela	1032.52	9930.49	98	0.10
ele	516.26	2037.91	62	0.25
